NOC,Gold,Silver,Bronze,Total
ITA,4,3,0,7
GER,3,1,0,4
CHN,1,2,4,7
KOR,1,1,0,2
VIE,1,1,0,2
USA,1,0,2,3
GRE,1,0,1,2
IOA,1,0,1,2
AUS,1,0,0,1
CRO,1,0,0,1
RUS,0,2,2,4
FRA,0,1,1,2
BRA,0,1,0,1
NZL,0,1,0,1
SWE,0,1,0,1
UKR,0,1,0,1
GBR,0,0,2,2
PRK,0,0,1,1
SUI,0,0,1,1
