NOC,Gold,Silver,Bronze,Total
CHN,9,1,4,14
USA,2,6,2,10
ROU,1,0,1,2
PRK,1,0,0,1
POL,1,0,0,1
JPN,0,2,0,2
FRA,0,1,1,2
GER,0,1,1,2
CRO,0,1,0,1
KOR,0,1,0,1
ESP,0,1,0,1
RUS,0,0,2,2
GBR,0,0,1,1
UKR,0,0,1,1
UZB,0,0,1,1
