NOC,Gold,Silver,Bronze,Total
USA,12,9,10,31
AUS,6,6,8,20
JPN,2,0,3,5
GBR,2,0,1,3
GER,2,0,0,2
CHN,1,3,2,6
ZIM,1,3,0,4
FRA,1,2,3,6
ITA,1,1,0,2
KOR,1,1,0,2
BRA,1,0,1,2
NED,1,0,0,1
TUN,1,0,0,1
HUN,0,3,0,3
RUS,0,1,2,3
NOR,0,1,1,2
SRB,0,1,0,1
SLO,0,1,0,1
AUT,0,0,1,1
CAN,0,0,1,1
DEN,0,0,1,1
