NOC,Gold,Silver,Bronze,Total
USA,7,10,8,25
KEN,6,4,6,16
JAM,5,4,2,11
RUS,5,1,4,10
ETH,4,2,1,7
CUB,2,1,3,6
BEL,2,0,0,2
GBR,1,2,5,8
AUS,1,2,1,4
UKR,1,2,1,4
NZL,1,1,0,2
NOR,1,1,0,2
POL,1,1,0,2
TTO,1,1,0,2
BRA,1,0,2,3
ITA,1,0,1,2
CMR,1,0,0,1
CZE,1,0,0,1
EST,1,0,0,1
PAN,1,0,0,1
POR,1,0,0,1
ROU,1,0,0,1
SLO,1,0,0,1
BLR,0,2,1,3
NGR,0,2,0,2
CHN,0,1,3,4
FRA,0,1,2,3
MAR,0,1,1,2
BAH,0,1,1,2
CRO,0,1,0,1
ECU,0,1,0,1
GER,0,1,0,1
JPN,0,1,0,1
KAZ,0,1,0,1
LAT,0,1,0,1
RSA,0,1,0,1
SUD,0,1,0,1
CAN,0,0,2,2
FIN,0,0,1,1
LTU,0,0,1,1
