NOC,Gold,Silver,Bronze,Total
USA,11,10,9,30
AUS,9,3,8,20
GBR,4,3,1,8
CHN,3,2,1,6
ROC,2,2,1,5
JPN,2,1,0,3
CAN,1,3,2,6
HUN,1,1,0,2
RSA,1,1,0,2
TUN,1,0,0,1
ITA,0,2,4,6
HKG,0,2,0,2
NED,0,2,0,2
UKR,0,1,1,2
FRA,0,1,0,1
SWE,0,1,0,1
BRA,0,0,2,2
GER,0,0,2,2
SUI,0,0,2,2
DEN,0,0,1,1
FIN,0,0,1,1
