NOC,Gold,Silver,Bronze,Total
CHN,5,2,0,7
THA,2,1,1,4
IRI,2,0,0,2
PRK,1,3,0,4
TPE,1,0,1,2
COL,1,0,1,2
GEO,1,0,1,2
UZB,1,0,0,1
ARM,0,2,0,2
BLR,0,2,0,2
INA,0,2,0,2
KAZ,0,1,4,5
PHI,0,1,0,1
TUR,0,1,0,1
EGY,0,0,2,2
JPN,0,0,1,1
LTU,0,0,1,1
KOR,0,0,1,1
ESP,0,0,1,1
USA,0,0,1,1
