NOC,Gold,Silver,Bronze,Total
CHN,7,1,0,8
ECU,1,1,0,2
TPE,1,0,1,2
GEO,1,0,1,2
CAN,1,0,0,1
PHI,1,0,0,1
QAT,1,0,0,1
UZB,1,0,0,1
VEN,0,2,0,2
INA,0,1,2,3
ITA,0,1,2,3
DOM,0,1,1,2
USA,0,1,1,2
ARM,0,1,0,1
COL,0,1,0,1
GBR,0,1,0,1
IND,0,1,0,1
IRI,0,1,0,1
TKM,0,1,0,1
KAZ,0,0,2,2
JPN,0,0,1,1
LAT,0,0,1,1
MEX,0,0,1,1
SYR,0,0,1,1
