NOC,Gold,Silver,Bronze,Total
USA,16,8,9,33
AUS,3,4,3,10
HUN,3,2,2,7
JPN,2,2,3,7
GBR,1,5,0,6
CHN,1,2,3,6
CAN,1,1,4,6
SWE,1,1,1,3
ITA,1,0,2,3
DEN,1,0,1,2
ESP,1,0,1,2
KAZ,1,0,0,1
SGP,1,0,0,1
RSA,0,3,0,3
RUS,0,2,2,4
FRA,0,2,0,2
BEL,0,1,0,1
BLR,0,0,1,1
