NOC,Gold,Silver,Bronze,Total
CHN,4,1,6,11
USA,3,2,1,6
ROC,2,4,2,8
CZE,1,1,0,2
SUI,1,0,1,2
FRA,1,0,0,1
IRI,1,0,0,1
SVK,1,0,0,1
ESP,1,0,0,1
SMR,0,1,1,2
SRB,0,1,1,2
BUL,0,1,0,1
CUB,0,1,0,1
DEN,0,1,0,1
ITA,0,1,0,1
KOR,0,1,0,1
GBR,0,0,1,1
KUW,0,0,1,1
UKR,0,0,1,1
