NOC,Gold,Silver,Bronze,Total
CHN,5,2,1,8
USA,2,2,2,6
CZE,2,1,0,3
UKR,2,1,0,3
ITA,1,2,0,3
KOR,1,1,0,2
FIN,1,0,1,2
IND,1,0,0,1
RUS,0,2,2,4
GER,0,1,3,4
MGL,0,1,0,1
NOR,0,1,0,1
SVK,0,1,0,1
AUS,0,0,1,1
CRO,0,0,1,1
CUB,0,0,1,1
FRA,0,0,1,1
GEO,0,0,1,1
SLO,0,0,1,1
