NOC,Gold,Silver,Bronze,Total
CHN,4,3,1,8
USA,3,1,2,6
RUS,1,3,4,8
JPN,1,2,0,3
ROU,1,1,1,3
BRA,1,0,0,1
HUN,1,0,0,1
NED,1,0,0,1
KOR,1,0,0,1
GER,0,3,0,3
GBR,0,1,3,4
FRA,0,0,1,1
ITA,0,0,1,1
UKR,0,0,1,1
