NOC,Gold,Silver,Bronze,Total
CHN,3,3,2,8
ROC,2,2,4,8
USA,2,2,2,6
JPN,2,1,2,5
BRA,1,1,0,2
GBR,1,0,1,2
KOR,1,0,1,2
BEL,1,0,0,1
ISR,1,0,0,1
TPE,0,1,0,1
CRO,0,1,0,1
GER,0,1,0,1
ITA,0,1,0,1
ESP,0,1,0,1
ARM,0,0,1,1
GRE,0,0,1,1
TUR,0,0,1,1
