NOC,Gold,Silver,Bronze,Total
CHN,5,2,0,7
IRI,3,2,0,5
PRK,3,0,2,5
POL,1,1,1,3
CAN,1,0,0,1
TPE,1,0,0,1
ESP,1,0,0,1
INA,0,2,1,3
COL,0,1,1,2
EGY,0,1,1,2
KOR,0,1,1,2
THA,0,1,1,2
BUL,0,1,0,1
JPN,0,1,0,1
RUS,0,1,0,1
CMR,0,0,1,1
CUB,0,0,1,1
KAZ,0,0,1,1
MEX,0,0,1,1
UKR,0,0,1,1
UZB,0,0,1,1
VIE,0,0,1,1
