NOC,Gold,Silver,Bronze,Total
CHN,4,2,3,9
RUS,3,4,3,10
GER,2,1,0,3
USA,2,1,0,3
ITA,1,2,0,3
AUS,1,0,1,2
BUL,1,0,1,2
HUN,1,0,0,1
UKR,1,0,0,1
UAE,1,0,0,1
KOR,0,2,1,3
CZE,0,1,1,2
FIN,0,1,0,1
IND,0,1,0,1
SCG,0,1,0,1
ESP,0,1,0,1
AZE,0,0,2,2
AUT,0,0,1,1
BLR,0,0,1,1
CUB,0,0,1,1
PRK,0,0,1,1
SVK,0,0,1,1
