NOC,Gold,Silver,Bronze,Total
USA,4,6,2,12
GBR,2,1,3,6
JPN,2,0,1,3
RUS,1,4,3,8
UKR,1,1,0,2
GER,1,0,1,2
PRK,1,0,0,1
GRE,1,0,0,1
NED,1,0,0,1
BRA,0,2,1,3
CHN,0,0,2,2
SUI,0,0,1,1
