NOC,Gold,Silver,Bronze,Total
CHN,5,1,0,6
KOR,2,2,0,4
RUS,1,2,0,3
TPE,1,1,0,2
PRK,1,1,0,2
THA,1,0,2,3
POL,1,0,1,2
BLR,1,0,0,1
GER,1,0,0,1
KAZ,1,0,0,1
COL,0,2,0,2
ARM,0,1,1,2
FRA,0,1,0,1
GEO,0,1,0,1
SAM,0,1,0,1
ESP,0,1,0,1
VIE,0,1,0,1
CUB,0,0,3,3
INA,0,0,3,3
CAN,0,0,1,1
EGY,0,0,1,1
LAT,0,0,1,1
MEX,0,0,1,1
NGR,0,0,1,1
