NOC,Gold,Silver,Bronze,Total
ROU,4,3,3,10
USA,2,6,1,9
JPN,1,1,2,4
CHN,1,0,2,3
ITA,1,0,1,2
ESP,1,0,1,2
CAN,1,0,0,1
FRA,1,0,0,1
GRE,1,0,0,1
UKR,1,0,0,1
RUS,0,1,2,3
BUL,0,1,1,2
KOR,0,1,1,2
LAT,0,1,0,1
