NOC,Gold,Silver,Bronze,Total
USA,12,9,7,28
AUS,7,5,3,15
JPN,3,1,4,8
NED,2,3,2,7
UKR,2,0,1,3
FRA,1,2,3,6
POL,1,2,0,3
RSA,1,1,1,3
ZIM,1,1,1,3
CHN,1,1,0,2
ROU,1,0,1,2
AUT,0,2,0,2
GER,0,1,4,5
HUN,0,1,1,2
ITA,0,1,1,2
CRO,0,1,0,1
RUS,0,1,0,1
GBR,0,0,2,2
ARG,0,0,1,1
TTO,0,0,1,1
